No,Title,Type,BodyPart,Equipment,Level,Rating
1186,Palms-Up Dumbbell Wrist Curl Over A Bench,Strength,Biceps,Dumbbell,Beginner,8.6
1187,Seated palms-down wrist curl,Strength,Biceps,Dumbbell,Beginner,8.4
1188,Palms-Down Dumbbell Wrist Curl Over A Bench,Strength,Biceps,Dumbbell,Beginner,8.4
1189,Seated One-Arm Dumbbell Palms-Down Wrist Curl,Strength,Biceps,Dumbbell,Beginner,8.3
1190,Seated Dumbbell Palms-Up Wrist Curl,Strength,Biceps,Dumbbell,Beginner,6.2
1191,Partner farmer's walk,Strength,Biceps,Dumbbell,Beginner,5.3
1197,Wrist Roller,Strength,Biceps,Other,Beginner,9.1
1198,Standing Olympic Plate Hand Squeeze,Strength,Biceps,Other,Beginner,8.6
1199,Plate Pinch,Strength,Biceps,Other,Beginner,8.3
1203,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Strength,Biceps,Cable,Beginner,9.2
1204,Cable Wrist Curl,Strength,Biceps,Cable,Beginner,7.8
2772,Incline EZ-bar skullcrusher,Strength,Biceps,Barbell,Intermediate,8.9
2773,Decline Close-Grip Bench To Skull Crusher,Strength,Biceps,Barbell,Beginner,8.9
2775,Behind-the-head skullcrusher,Strength,Biceps,Barbell,Intermediate,8.7
2776,Standing barbell overhead Biceps extension,Strength,Biceps,Barbell,Intermediate,8.6
2777,Reverse-grip bench press,Strength,Biceps,Barbell,Intermediate,8.3
2780,One Arm Floor Press,Strength,Biceps,Barbell,Beginner,7.3
2792,Seated Biceps press,Strength,Biceps,Dumbbell,Intermediate,8.9
2793,Tricep Dumbbell Kickback,Strength,Biceps,Dumbbell,Intermediate,8.8
2794,Standing Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Intermediate,8.8
2795,Double-arm Biceps kick-back,Strength,Biceps,Dumbbell,Intermediate,8.8
2796,Single-arm dumbbell Biceps extension,Strength,Biceps,Dumbbell,Intermediate,8.5
2797,Decline Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Beginner,8.5
2798,Dumbbell skullcrusher,Strength,Biceps,Dumbbell,Intermediate,8.4
2799,One Arm Pronated Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Beginner,8.4
2800,One Arm Supinated Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Beginner,8.4
2801,Seated Bent-Over Two-Arm Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Beginner,8.2
2802,Tate Press,Strength,Biceps,Dumbbell,Beginner,8.1
2803,Standing Bent-Over One-Arm Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Intermediate,7.9
2804,Seated Bent-Over One-Arm Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Beginner,7.5
2805,Dumbbell Tricep Extension -Pronated Grip,Strength,Biceps,Dumbbell,Beginner,6.3
2833,Cable V-bar push-down,Strength,Biceps,Cable,Intermediate,9.1
2834,Reverse Grip Biceps Pushdown,Strength,Biceps,Cable,Intermediate,9.0
2835,Kneeling cable Biceps extension,Strength,Biceps,Cable,Intermediate,9.0
2836,Single-arm cable Biceps extension,Strength,Biceps,Cable,Intermediate,8.9
2837,Dip Machine,Strength,Biceps,Cable,Intermediate,8.8
2838,Biceps Pushdown,Strength,Biceps,Cable,Intermediate,8.6
2839,Low cable overhead Biceps extension,Strength,Biceps,Cable,Intermediate,8.6
2840,Lying cable Biceps extension,Strength,Biceps,Cable,Intermediate,8.6
2841,Low Cable Biceps Extension,Strength,Biceps,Cable,Beginner,8.2
2842,Cable overhead Biceps extension,Strength,Biceps,Cable,Intermediate,8.1
2843,Single-arm low cable Biceps extension,Strength,Biceps,Cable,Intermediate,8.0
2844,Incline cable straight-bar Biceps extension,Strength,Biceps,Cable,Intermediate,7.1
2875,Machine Biceps Extension,Strength,Biceps,Machine,Intermediate,7.4
2882,Biceps dip,Strength,Biceps,Body Only,Intermediate,9.4
2883,Weighted bench dip,Strength,Biceps,Body Only,Intermediate,9.1
2884,Push-Ups - Close Biceps Position,Strength,Biceps,Body Only,Intermediate,9.0
2885,Parallel Bar Dip,Strength,Biceps,Body Only,Intermediate,8.8
2886,Ring dip,Strength,Biceps,Body Only,Intermediate,8.8
2887,Feet-elevated bench dip,Strength,Biceps,Body Only,Intermediate,8.7
2888,Bodyweight Biceps press,Strength,Biceps,Body Only,Intermediate,8.2
2889,Standing Towel Biceps Extension,Strength,Biceps,Body Only,Beginner,6.5
2911,Decline EZ-bar skullcrusher,Strength,Biceps,E-Z Curl Bar,Intermediate,9.3
2912,EZ-Bar Skullcrusher,Strength,Biceps,E-Z Curl Bar,Intermediate,9.0
2913,EZ-bar skullcrusher-,Strength,Biceps,E-Z Curl Bar,Intermediate,8.1
2914,Lying Close-Grip Barbell Biceps Press To Chin,Strength,Biceps,E-Z Curl Bar,Beginner,8.1
704,Brachialis SMR,Stretching,Biceps,Foam Roll,Beginner,3.2
811,Standing Biceps Stretch,Stretching,Biceps,Other,Beginner,7.1
852,Seated Biceps,Stretching,Biceps,Body Only,Beginner,5.0
1206,Wrist Circles,Stretching,Biceps,Body Only,Beginner,2.5
1207,Kneeling Forearm Stretch,Stretching,Biceps,,Beginner,5.2
2890,Tricep Side Stretch,Stretching,Biceps,Body Only,Intermediate,5.5
2891,Biceps Stretch,Stretching,Biceps,Body Only,Intermediate,4.8
2892,Overhead Biceps,Stretching,Biceps,Body Only,Beginner,3.3
716,Seated wide-grip curl to close-grip curl,Strength,Biceps,Barbell,Beginner,0.0
717,Seated Straigh-Bar Curl Superset,Strength,Biceps,Barbell,Beginner,0.0
812,Suspended Curl,Strength,Biceps,Other,Beginner,0.0
813,Plate hammer curl,Strength,Biceps,Other,Beginner,0.0
40,Dumbbell spell caster,Strength,Biceps,Dumbbell,Beginner,9.3
705,Wide-grip barbell curl,Strength,Biceps,Barbell,Beginner,9.3
706,EZ-bar spider curl,Strength,Biceps,Barbell,Intermediate,9.2
707,Barbell Curl,Strength,Biceps,Barbell,Intermediate,9.0
708,Close-grip EZ-bar curl,Strength,Biceps,Barbell,Beginner,8.9
709,Preacher Curl,Strength,Biceps,Barbell,Intermediate,8.8
710,Barbell Curls Lying Against An Incline,Strength,Biceps,Barbell,Beginner,8.8
711,Seated Close-Grip Concentration Barbell Curl,Strength,Biceps,Barbell,Beginner,8.8
712,Close-grip barbell curl,Strength,Biceps,Barbell,Beginner,8.6
713,Drag curl,Strength,Biceps,Barbell,Beginner,8.5
714,Reverse-grip barbell curl,Strength,Biceps,Barbell,Intermediate,8.2
715,Lying High Bench Barbell Curl,Strength,Biceps,Barbell,Beginner,5.8
731,Incline Hammer Curls,Strength,Biceps,Dumbbell,Beginner,9.5
732,Hammer Curls,Strength,Biceps,Dumbbell,Intermediate,9.1
733,Biceps curl to shoulder press,Strength,Biceps,Dumbbell,Beginner,9.1
734,Concentration curl,Strength,Biceps,Dumbbell,Intermediate,9.0
735,Flexor Incline Dumbbell Curls,Strength,Biceps,Dumbbell,Beginner,9.0
736,Dumbbell Bicep Curl,Strength,Biceps,Dumbbell,Intermediate,8.9
737,Cross-body hammer curl,Strength,Biceps,Dumbbell,Beginner,8.9
738,Dumbbell Alternate Bicep Curl,Strength,Biceps,Dumbbell,Intermediate,8.7
739,Single-arm dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate,8.7
740,Alternate Incline Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,8.7
741,Standing concentration curl,Strength,Biceps,Dumbbell,Beginner,8.7
742,Alternating incline dumbbell Biceps curl,Strength,Biceps,Dumbbell,Intermediate,8.6
743,Alternate Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,8.6
744,Seated dumbbell Biceps curl,Strength,Biceps,Dumbbell,Intermediate,8.6
745,Preacher Hammer Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner,8.6
746,Dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate,8.3
747,Lying Supine Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner,8.3
748,Standing Dumbbell Reverse Curl,Strength,Biceps,Dumbbell,Beginner,8.1
749,Palms-out incline Biceps curl,Strength,Biceps,Dumbbell,Beginner,8.0
750,Straight-arm plank with Biceps curl,Strength,Biceps,Dumbbell,Beginner,7.7
751,Face-down incline dumbbell Biceps curl,Strength,Biceps,Dumbbell,Beginner,7.6
752,Seated Dumbbell Inner Biceps Curl,Strength,Biceps,Dumbbell,Beginner,7.4
753,Standing Inner-Biceps Curl,Strength,Biceps,Dumbbell,Beginner,7.4
810,Reverse Plate Curls,Strength,Biceps,Other,Beginner,7.2
816,Overhead cable curl,Strength,Biceps,Cable,Intermediate,9.0
817,Standing One-Arm Cable Curl,Strength,Biceps,Cable,Beginner,8.8
818,Reverse Cable Curl,Strength,Biceps,Cable,Beginner,8.7
819,Standing Biceps Cable Curl,Strength,Biceps,Cable,Intermediate,8.5
820,Cable rope hammer curl,Strength,Biceps,Cable,Intermediate,8.2
821,Lying cable Biceps curl,Strength,Biceps,Cable,Beginner,8.2
822,Cable rope preacher hammer curl,Strength,Biceps,Cable,Beginner,7.5
823,Lying Close-Grip Bar Curl On High Pulley,Strength,Biceps,Cable,Beginner,7.1
846,Machine Bicep Curl,Strength,Biceps,Machine,Beginner,9.0
847,Machine Preacher Curls,Strength,Biceps,Machine,Beginner,8.3
858,EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,9.1
859,Reverse Barbell Preacher Curls,Strength,Biceps,E-Z Curl Bar,Beginner,8.8
860,Close-Grip EZ-Bar Curl with Band,Strength,Biceps,E-Z Curl Bar,Beginner,7.9
1179,Palms-down wrist curl over bench,Strength,Biceps,Barbell,Intermediate,9.5
1180,Palms-up wrist curl over bench,Strength,Biceps,Barbell,Intermediate,9.4
1181,Standing behind-the-back wrist curl,Strength,Biceps,Barbell,Beginner,9.3
1182,Seated finger curl,Strength,Biceps,Barbell,Beginner,9.3
1183,Seated palms-up wrist curl,Strength,Biceps,Barbell,Intermediate,8.7
1184,Bottoms-Up Clean From The Hang Position,Strength,Biceps,Kettlebells,Beginner,8.3
1185,Seated One-Arm Dumbbell Palms-Up Wrist Curl,Strength,Biceps,Dumbbell,Beginner,9.0
1186,Palms-Up Dumbbell Wrist Curl Over A Bench,Strength,Biceps,Dumbbell,Beginner,8.6
1187,Seated palms-down wrist curl,Strength,Biceps,Dumbbell,Beginner,8.4
1188,Palms-Down Dumbbell Wrist Curl Over A Bench,Strength,Biceps,Dumbbell,Beginner,8.4
1189,Seated One-Arm Dumbbell Palms-Down Wrist Curl,Strength,Biceps,Dumbbell,Beginner,8.3
1190,Seated Dumbbell Palms-Up Wrist Curl,Strength,Biceps,Dumbbell,Beginner,6.2
1191,Partner farmer's walk,Strength,Biceps,Dumbbell,Beginner,5.3
1197,Wrist Roller,Strength,Biceps,Other,Beginner,9.1
1198,Standing Olympic Plate Hand Squeeze,Strength,Biceps,Other,Beginner,8.6
1199,Plate Pinch,Strength,Biceps,Other,Beginner,8.3
1203,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Strength,Biceps,Cable,Beginner,9.2
1204,Cable Wrist Curl,Strength,Biceps,Cable,Beginner,7.8
2772,Incline EZ-bar skullcrusher,Strength,Biceps,Barbell,Intermediate,8.9
2773,Decline Close-Grip Bench To Skull Crusher,Strength,Biceps,Barbell,Beginner,8.9
2775,Behind-the-head skullcrusher,Strength,Biceps,Barbell,Intermediate,8.7
2776,Standing barbell overhead Biceps extension,Strength,Biceps,Barbell,Intermediate,8.6
2777,Reverse-grip bench press,Strength,Biceps,Barbell,Intermediate,8.3
2780,One Arm Floor Press,Strength,Biceps,Barbell,Beginner,7.3
2792,Seated Biceps press,Strength,Biceps,Dumbbell,Intermediate,8.9
2793,Tricep Dumbbell Kickback,Strength,Biceps,Dumbbell,Intermediate,8.8
2794,Standing Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Intermediate,8.8
2795,Double-arm Biceps kick-back,Strength,Biceps,Dumbbell,Intermediate,8.8
2796,Single-arm dumbbell Biceps extension,Strength,Biceps,Dumbbell,Intermediate,8.5
2797,Decline Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Beginner,8.5
2798,Dumbbell skullcrusher,Strength,Biceps,Dumbbell,Intermediate,8.4
2799,One Arm Pronated Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Beginner,8.4
2800,One Arm Supinated Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Beginner,8.4
2801,Seated Bent-Over Two-Arm Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Beginner,8.2
2802,Tate Press,Strength,Biceps,Dumbbell,Beginner,8.1
2803,Standing Bent-Over One-Arm Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Intermediate,7.9
2804,Seated Bent-Over One-Arm Dumbbell Biceps Extension,Strength,Biceps,Dumbbell,Beginner,7.5
2805,Dumbbell Tricep Extension -Pronated Grip,Strength,Biceps,Dumbbell,Beginner,6.3
2833,Cable V-bar push-down,Strength,Biceps,Cable,Intermediate,9.1
2834,Reverse Grip Biceps Pushdown,Strength,Biceps,Cable,Intermediate,9.0
2835,Kneeling cable Biceps extension,Strength,Biceps,Cable,Intermediate,9.0
2836,Single-arm cable Biceps extension,Strength,Biceps,Cable,Intermediate,8.9
2837,Dip Machine,Strength,Biceps,Cable,Intermediate,8.8
2838,Biceps Pushdown,Strength,Biceps,Cable,Intermediate,8.6
2839,Low cable overhead Biceps extension,Strength,Biceps,Cable,Intermediate,8.6
2840,Lying cable Biceps extension,Strength,Biceps,Cable,Intermediate,8.6
2841,Low Cable Biceps Extension,Strength,Biceps,Cable,Beginner,8.2
2842,Cable overhead Biceps extension,Strength,Biceps,Cable,Intermediate,8.1
2843,Single-arm low cable Biceps extension,Strength,Biceps,Cable,Intermediate,8.0
2844,Incline cable straight-bar Biceps extension,Strength,Biceps,Cable,Intermediate,7.1
2875,Machine Biceps Extension,Strength,Biceps,Machine,Intermediate,7.4
2882,Biceps dip,Strength,Biceps,Body Only,Intermediate,9.4
2883,Weighted bench dip,Strength,Biceps,Body Only,Intermediate,9.1
2884,Push-Ups - Close Biceps Position,Strength,Biceps,Body Only,Intermediate,9.0
2885,Parallel Bar Dip,Strength,Biceps,Body Only,Intermediate,8.8
2886,Ring dip,Strength,Biceps,Body Only,Intermediate,8.8
2887,Feet-elevated bench dip,Strength,Biceps,Body Only,Intermediate,8.7
2888,Bodyweight Biceps press,Strength,Biceps,Body Only,Intermediate,8.2
2889,Standing Towel Biceps Extension,Strength,Biceps,Body Only,Beginner,6.5
2911,Decline EZ-bar skullcrusher,Strength,Biceps,E-Z Curl Bar,Intermediate,9.3
2912,EZ-Bar Skullcrusher,Strength,Biceps,E-Z Curl Bar,Intermediate,9.0
2913,EZ-bar skullcrusher-,Strength,Biceps,E-Z Curl Bar,Intermediate,8.1
2914,Lying Close-Grip Barbell Biceps Press To Chin,Strength,Biceps,E-Z Curl Bar,Beginner,8.1
704,Brachialis SMR,Stretching,Biceps,Foam Roll,Beginner,3.2
811,Standing Biceps Stretch,Stretching,Biceps,Other,Beginner,7.1
852,Seated Biceps,Stretching,Biceps,Body Only,Beginner,5.0
1206,Wrist Circles,Stretching,Biceps,Body Only,Beginner,2.5
1207,Kneeling Forearm Stretch,Stretching,Biceps,,Beginner,5.2
2890,Tricep Side Stretch,Stretching,Biceps,Body Only,Intermediate,5.5
2891,Biceps Stretch,Stretching,Biceps,Body Only,Intermediate,4.8
2892,Overhead Biceps,Stretching,Biceps,Body Only,Beginner,3.3
716,Seated wide-grip curl to close-grip curl,Strength,Biceps,Barbell,Beginner,0.0
717,Seated Straigh-Bar Curl Superset,Strength,Biceps,Barbell,Beginner,0.0
812,Suspended Curl,Strength,Biceps,Other,Beginner,0.0
813,Plate hammer curl,Strength,Biceps,Other,Beginner,0.0
