Title,Type,BodyPart,Rating
"Close-grip barbell curl, Alternating incline dumbbell Biceps curl, Alternate Hammer Curl, Seated dumbbell Biceps curl, Preacher Hammer Dumbbell Curl, Palms-Up Dumbbell Wrist Curl Over A Bench, Standing Olympic Plate Hand Squeeze, Standing barbell overhead Biceps extension, Biceps Pushdown, Low cable overhead Biceps extension, Lying cable Biceps extension",Strength,Biceps,8.6
"Band Hip Adductions, Kettlebell One-Legged Deadlift, Single-arm kettlebell clean, Split Squat with Dumbbells",Strength,Thigh,8.6
"Dumbbell side bend, Captain's chair knee raise, Rope Crunch, Standing cable crunch, Dead bug reach, Crunch - Hands Overhead",Strength,Waist,8.6
"Drag curl, Standing Biceps Cable Curl, Single-arm dumbbell Biceps extension, Decline Dumbbell Biceps Extension",Strength,Biceps,8.5
"Barbell Bulgarian split squat, Barbell hack squat, Leg Extensions",Strength,Thigh,8.5
"Decline bar press sit-up, Bosu Ball Cable Crunch With Side Bends, V-up",Strength,Waist,8.5
"Decline oblique crunch, Stomach Vacuum",Strength,Waist,8.5
"Seated palms-down wrist curl, Palms-Down Dumbbell Wrist Curl Over A Bench, Dumbbell skullcrusher, One Arm Pronated Dumbbell Biceps Extension, One Arm Supinated Dumbbell Biceps Extension",Strength,Biceps,8.4
"Skating, Treadmill running",Cardio,Thigh,8.4
"Hack Squat, Weighted sissy squat, Biceps-crossed jump squat",Strength,Thigh,8.4
Standing leg swing,Stretching,Thigh,8.4
"Pallof press, Russian twist, Flat Bench Lying Leg Raise, Knees tucked crunch, Exercise ball crunch",Strength,Waist,8.4
"Dumbbell preacher curl, Lying Supine Dumbbell Curl, Machine Preacher Curls, Bottoms-Up Clean From The Hang Position, Seated One-Arm Dumbbell Palms-Down Wrist Curl, Plate Pinch, Reverse-grip bench press",Strength,Biceps,8.3
"Stationary bike, Treadmill jogging",Cardio,Thigh,8.3
"Barbell stiff-legged deadlift, Barbell thruster, Dumbbell sumo squat, Bodyweight Reverse Lunge",Strength,Thigh,8.3
"Bench barbell roll-out, Advanced Kettlebell Windmill, Butt-Ups, Feet-elevated oblique crunch",Strength,Waist,8.3
"Reverse-grip barbell curl, Cable rope hammer curl, Lying cable Biceps curl, Seated Bent-Over Two-Arm Dumbbell Biceps Extension, Low Cable Biceps Extension, Bodyweight Biceps press",Strength,Biceps,8.2
"Recumbent Bike, Treadmill walking",Cardio,Thigh,8.2
"Thigh abductor, Single-leg kettlebell deadlift, Barbell back squat, Dumbbell step-up, Cable Hip Adduction",Strength,Thigh,8.2
Iliotibial band SMR,Stretching,Thigh,8.2
"Standing Cable Wood Chop, Cable reverse crunch",Strength,Waist,8.2
"Standing Dumbbell Reverse Curl, Tate Press, Cable overhead Biceps extension, EZ-bar skullcrusher-, Lying Close-Grip Barbell Biceps Press To Chin",Strength,Biceps,8.1
"Romanian Deadlift, Zercher squat",Strength,Thigh,8.1
"Cable Russian Twists, Bent-knee reverse crunch",Strength,Waist,8.1
"Palms-out incline Biceps curl, Single-arm low cable Biceps extension",Strength,Biceps,8
"Fire Hydrant, Romanian Deadlift with Kettlebell, Reverse Hyperextension, Jefferson Squats, Smith machine leg press, Lying Machine Squat, Bodyweight Walking Lunge, Windmills",Strength,Thigh,8
"Weighted Sit-Ups - With Bands, Ab Crunch Machine, Smith machine straight-legged hip raise, Alternating heel-touch",Strength,Waist,8
"Close-Grip EZ-Bar Curl with Band, Standing Bent-Over One-Arm Dumbbell Biceps Extension",Strength,Biceps,7.9
Seated Leg Curl,Strength,Thigh,7.9
Pallof press with rotation,Strength,Waist,7.9
Cable Wrist Curl,Strength,Biceps,7.8
Walking High Knees,Cardio,Thigh,7.8
"Barbell side split squat, Lateral lunge",Strength,Thigh,7.8
Leg-Up Hamstring Stretch,Stretching,Thigh,7.8
Suspended Reverse Crunch,Strength,Waist,7.8
Straight-arm plank with Biceps curl,Strength,Biceps,7.7
"Barbell speed squat, Kettlebell Curtsy Lunge, Cable Deadlifts, Seated Leg Press",Strength,Thigh,7.7
Side Leg Raises,Stretching,Thigh,7.7
"Kettlebell Windmill, Cable Seated Crunch, Lying bench reverse crunch",Strength,Waist,7.7
Face-down incline dumbbell Biceps curl,Strength,Biceps,7.6
"Cable rope preacher hammer curl, Seated Bent-Over One-Arm Dumbbell Biceps Extension",Strength,Biceps,7.5
Single-arm side deadlift,Strength,Thigh,7.5
Inchworm,Stretching,Thigh,7.5
"Sit-up, Side Bridge",Strength,Waist,7.5
"Seated Dumbbell Inner Biceps Curl, Standing Inner-Biceps Curl, Machine Biceps Extension",Strength,Biceps,7.4
Sled push-,Cardio,Thigh,7.4
"Single-arm kettlebell swing, Standing Leg Curl, Barbell Squat To A Bench",Strength,Thigh,7.4
"Lying oblique crunch, Janda Sit-Up",Strength,Waist,7.4
Leg Pull-In,Strength,Waist,7.4
One Arm Floor Press,Strength,Biceps,7.3
Dumbbell Walking Lunge,Strength,Thigh,7.3
"Kettlebell Pass Between The Legs, Side Jackknife, Feet-elevated crunch",Strength,Waist,7.3
Reverse Plate Curls,Strength,Biceps,7.2
Weighted Squat,Strength,Thigh,7.2
"Lying Close-Grip Bar Curl On High Pulley, Incline cable straight-bar Biceps extension, Standing Biceps Stretch",Strength,Biceps,7.1
"Groin and Back Stretch, Smith machine stiff-legged deadlift, Single-arm kettlebell overhead squat, Dumbbell Squat To A Bench, Smith machine pistol squat",Stretching,Thigh,7.1
"Barbell Side Bend, Scissor Kick, Toe Touchers",Strength,Waist,7
"Monster Walk, Barbell squat with plate slide",Strength,Thigh,6.7
"Standing Hamstring and Calf Stretch, Lying groin stretch with band",Stretching,Thigh,6.7
Standing Towel Biceps Extension,Strength,Biceps,6.5
Suspended split squat,Strength,Thigh,6.5
Lower Back Curl,Stretching,Waist,6.5
Weighted Ball Side Bend,Strength,Waist,6.4
Dumbbell Tricep Extension -Pronated Grip,Strength,Biceps,6.3
"Lying Hamstring, Intermediate Hip Flexor and Quad Stretch",Stretching,Thigh,6.3
Seated Dumbbell Palms-Up Wrist Curl,Strength,Biceps,6.2
Sit Squats,Stretching,Thigh,6.1
Lying hamstring stretch with band,Stretching,Thigh,5.9
Lying High Bench Barbell Curl,Strength,Biceps,5.8
Squats - With Bands,Strength,Thigh,5.8
Tricep Side Stretch,Stretching,Biceps,5.5
Hamstring-SMR,Stretching,Thigh,5.5
"Upper Back-Leg Grab, Thigh SMR, Kneeling hip flexor stretch",Stretching,Thigh,5.4
Partner farmer's walk,Strength,Biceps,5.3
"Kettlebell Dead Clean, Front Barbell Squat To A Bench, Seated Hamstring",Strength,Thigh,5.3
Kneeling Forearm Stretch,Stretching,Biceps,5.2
Iron Crosses (stretch),Stretching,Thigh,5.2
Seated Biceps,Stretching,Biceps,5
"90/90 Hamstring, All Fours Quad Stretch",Stretching,Thigh,5
Cable Judo Flip,Strength,Waist,5
Exercise ball torso rotation,Stretching,Waist,5
Alternating Hang Clean,Strength,Thigh,4.9
Lying quad stretch with band,Stretching,Thigh,4.9
Biceps Stretch,Stretching,Biceps,4.8
One Half Locust,Stretching,Thigh,4.7
Seated bar twist,Strength,Waist,4.7
Seated Overhead Stretch,Stretching,Waist,4.7
"World's greatest stretch, Standing Hip Flexors",Stretching,Thigh,4.4
"The Straddle, Looking At Ceiling",Stretching,Thigh,4.3
Alternating lunge jump,Stretching,Thigh,4.2
Adductor SMR,Stretching,Thigh,4
Frog Hops,Stretching,Thigh,3.9
Overhead Stretch,Stretching,Waist,3.9
Side Lying Groin Stretch,Stretching,Thigh,3.8
"Adductor/Groin, Runner's Stretch",Stretching,Thigh,3.6
Rear Leg Raises,Stretching,Thigh,3.4
Overhead Biceps,Stretching,Biceps,3.3
"On Your Side Quad Stretch, On-Your-Back Quad Stretch",Stretching,Thigh,3.3
Brachialis SMR,Stretching,Biceps,3.2
Lying Bent Leg Groin,Stretching,Thigh,2.8
Standing Elevated Quad Stretch,Stretching,Thigh,2.7
Wrist Circles,Stretching,Biceps,2.5
"IT Band and Glute Stretch, Chair Leg Extended Stretch",Stretching,Thigh,2.4
Single-leg lying cross-over stretch,Stretching,Thigh,1.6
"Seated wide-grip curl to close-grip curl, Seated Straigh-Bar Curl Superset, Suspended Curl, Plate hammer curl",Strength,Biceps,0
